ID	NUMBER	GLOSS	FRENCH	LATIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gauchat-1925-480-1	1	it is	il fait	facit		
Gauchat-1925-480-2	2	hot	chaud	caldu	1286	HOT
Gauchat-1925-480-3	3	today	aujourd‘hui	hodie	1283	TODAY
Gauchat-1925-480-4	4	it is	c’est	est	1579	BE
Gauchat-1925-480-5	5	a good	un bon	bonu	1035	GOOD
Gauchat-1925-480-6	6	time	temps	tempus	952	WEATHER
Gauchat-1925-480-7	7	a	une	una	1493	ONE
Gauchat-1925-480-8	8	good	bonne	bona	1035	GOOD
Gauchat-1925-480-9	9	season	saison	satione	691	SEASON
Gauchat-1925-480-10	10	it is raining	il pleut	plovet	1253	RAIN (RAINING)
Gauchat-1925-480-11	11	each	chaque	cata + quisque	98	ALL
Gauchat-1925-480-12	12	day	jour	diurnu	1260	DAY (24 HOURS)
Gauchat-1925-480-13	13	yesterday	hier	heri	1174	YESTERDAY
Gauchat-1925-480-14	14	there was	il y avait	habebat		
Gauchat-1925-480-15	15	little	peu de	paucu	1242	FEW
Gauchat-1925-480-16	16	dew	rosée	rosata	1977	DEW
Gauchat-1925-480-17	17	it was	il faisait	faciebat		
Gauchat-1925-480-18	18	cold	froid	frigidu	1287	COLD
Gauchat-1925-480-19	19	the morning	la matinée	matutinata	1339	MORNING
Gauchat-1925-480-20	20	was	était	erat (est + ebat)		
Gauchat-1925-480-21	21	cold	froide	frigida	1287	COLD
Gauchat-1925-480-22	22	the mornings	les matinées	matutinatas	1339	MORNING
Gauchat-1925-480-23	23	are	sont	sunt	1579	BE
Gauchat-1925-480-24	24	cold	froides	frigidas	1287	COLD
Gauchat-1925-480-25	25	the jelly	la gelée	gelata	2034	FROST
Gauchat-1925-480-26	26	is dangerous	est dangereuse	dominiariu + osa	3466	DANGEROUS
Gauchat-1925-480-27	27	jellies	les gelées	gelatas	2034	FROST
Gauchat-1925-480-28	28	are dangerous	sont dangereuses	dominiariu + osas	3466	DANGEROUS
Gauchat-1925-480-29	29	the night	la nuit	nocte	1233	NIGHT
Gauchat-1925-480-30	30	one sees	on voit	homo videt	1409	SEE
Gauchat-1925-480-31	31	the moon	la lune	luna	1313	MOON
Gauchat-1925-480-32	32	the stars	les étoiles	stellas	1430	STAR
Gauchat-1925-480-33	33	one does not need	il ne faut pas	fallit		
Gauchat-1925-480-34	34	to have	avoir	habere	773	HAVE
Gauchat-1925-480-35	35	fear	peur	pavore	781	FEAR (FRIGHT)
Gauchat-1925-480-36	36	from the thunder	du tonnerre	tonitru	1150	THUNDER
Gauchat-1925-480-37	37	in the month	au mois	mese	1370	MONTH
Gauchat-1925-480-38	38	of February	de février	febrariu	2037	FEBRUARY
Gauchat-1925-480-39	39	there is	il y a	habet	2152	THERE IS OR THERE ARE
Gauchat-1925-480-40	40	snow	de la neige	nive	784	SNOW
Gauchat-1925-480-41	41	ice	de la glace	glacia	617	ICE
Gauchat-1925-480-42	42	there is	il fait	facit	2152	THERE IS OR THERE ARE
Gauchat-1925-480-43	43	some wind	du vent	ventu (aura)	960	WIND
Gauchat-1925-480-44	44	Winter	l’hiver	hibernu	1471	WINTER
Gauchat-1925-480-45	45	arrives	arrive	adripat	1387	ARRIVE
Gauchat-1925-480-46	46	he is there	il est là	illac		
Gauchat-1925-480-47	47	I must	je dois	debeo	971	MUST
Gauchat-1925-480-48	48	go down	descendre	descendere	2014	GO DOWN (DESCEND)
Gauchat-1925-480-49	49	in the city	en ville	villa	930	VILLAGE
Gauchat-1925-480-50	50	it is necessary	il faut	fallit	971	MUST
Gauchat-1925-480-51	51	to follow	suivre	sequere	1085	FOLLOW
Gauchat-1925-480-52	52	the path	le sentier	semitariu	2252	PATH
Gauchat-1925-480-53	53	until	jusqu’à	tantu + que	2753	UNTIL
Gauchat-1925-480-54	54	the crossing	la croisée	cruciata		
Gauchat-1925-480-55	55	to cross	traverser	transversare	1742	TRAVERSE
Gauchat-1925-480-56	56	the field	le champ	campu	212	FIELD
Gauchat-1925-480-57	57	the meadow	le pré	pratu		
Gauchat-1925-480-58	58	to pass	passer	passare		
Gauchat-1925-480-59	59	to the cross	vers la croix	cruce		
Gauchat-1925-480-60	60	the well	le puits	puteu	954	WELL
Gauchat-1925-480-61	61	"the ""chable"""	le „chable“	catabolu		
Gauchat-1925-480-62	62	it is	c‘est	est	1579	BE
Gauchat-1925-480-63	63	a place	un lieu	unu locu	723	PLACE (POSITION)
Gauchat-1925-480-64	64	dangerous	dangereux	dominiariu + osu	3466	DANGEROUS
Gauchat-1925-480-65	65	the river	la rive	ripa	666	RIVER
Gauchat-1925-480-66	66	is narrow	est étroite	stricta	1404	STRAIGHT
Gauchat-1925-480-67	67	the attic	le grenier	granariu		
Gauchat-1925-480-68	68	"and the ""beater"""	et le „battoir“	batt + atoriu		
Gauchat-1925-480-69	69	are very close	sont tout près	pressu		
Gauchat-1925-480-70	70	of the village	du village	villaticu	930	VILLAGE
Gauchat-1925-480-71	71	let's go	allons-y	ambulemus		
Gauchat-1925-480-72	72	together	ensemble	insimul	2482	TOGETHER
Gauchat-1925-480-73	73	be careful	prends garde	cavica		
Gauchat-1925-480-74	74	to stumble	de t‘“encoubler“	incopulare		
Gauchat-1925-480-75	75	the bridge	le pont	ponte	1011	BRIDGE
Gauchat-1925-480-76	76	is	est en	est in		
Gauchat-1925-480-77	77	stone	pierre	petra	857	STONE
Gauchat-1925-480-78	78	iron	en fer	ferru	621	IRON
Gauchat-1925-480-79	79	it is new	il est neuf	novu	1231	NEW
Gauchat-1925-480-80	80	large	large	largu	2531	BROAD
Gauchat-1925-480-81	81	the wall	le mur	muru	933	WALL (OF HOUSE)
Gauchat-1925-480-82	82	has started	est commencé	cuminitiatu		
Gauchat-1925-480-83	83	the journey	la tour	turre	2393	JOURNEY
Gauchat-1925-480-84	84	(has) started	(est) commencée	cuminitiata	3447	BEGIN OR START
Gauchat-1925-480-85	85	the journeys	les tours	turres	2393	JOURNEY
Gauchat-1925-480-86	86	have started	(sont) commencées	cuminitatias	3447	BEGIN OR START
Gauchat-1925-480-87	87	the cow	le bœuf	bove	3044	BOVINE
Gauchat-1925-480-88	88	has horns	a des cornes	habet corn(u)as	1393	HORN (ANATOMY)
Gauchat-1925-480-89	89	the ladder	l‘échelle	scala		
Gauchat-1925-480-90	90	is leaned	est dressé	directiata		
Gauchat-1925-480-91	91	against	contre	contra	2469	AGAINST
Gauchat-1925-480-92	92	the top	le faîte	fresta	1753	TOP
Gauchat-1925-480-93	93	of the roof	du toit	tectu	769	ROOF
Gauchat-1925-480-94	94	he closes	il ferme	claudit	1046	SHUT
Gauchat-1925-480-95	95	the window	la fenêtre	fenestra	1375	WINDOW
Gauchat-1925-480-96	96	of the room	de la chambre	pe(n)sile	1450	ROOM
Gauchat-1925-480-97	97	he sweeps	il balaie	scopat	230	SWEEP
Gauchat-1925-480-98	98	in front of	devant	de + abante	1883	IN FRONT OF
Gauchat-1925-480-99	99	the door	la porte	porta	1567	DOOR
Gauchat-1925-480-100	100	of the barn	de la grange	granica		
Gauchat-1925-480-101	101	we have	on a	homo habet	773	HAVE
Gauchat-1925-480-102	102	lost	perdu	perdutu	1660	LOSE
Gauchat-1925-480-103	103	the key	la clef	clave	1472	KEY
Gauchat-1925-480-104	104	of the bell tower	du clocher	cloccariu		
Gauchat-1925-480-105	105	it is	elle est	illa est		
Gauchat-1925-480-106	106	lost	perdue	perduta		
Gauchat-1925-480-107	107	who has	qui a	cui / qualis habet		
Gauchat-1925-480-108	108	done that?	fait cela?	factu		
Gauchat-1925-480-109	109	I go	je vais	vado		
Gauchat-1925-480-110	110	to the market	au marché	mercatu	633	MARKET
Gauchat-1925-480-111	111	to search	chercher	circare	1468	LOOK FOR
Gauchat-1925-480-112	112	a shovel	une pelle	pala	1901	SHOVEL
Gauchat-1925-480-113	113	(a) scythe	(une) faux	falce	2132	SICKLE OR SCYTHE
Gauchat-1925-480-114	114	(a) scythe handle	(un) manche de faux	falcariu		
Gauchat-1925-480-115	115	(a) plague	(un) fléau	flagellu		
Gauchat-1925-480-116	116	(a) van	(un) van	vannu		
Gauchat-1925-480-117	117	(a) boiler	(une) chaudière	caldaria		
Gauchat-1925-480-118	118	(a) plow	(une) charrue	carruca	1921	PLOUGH
Gauchat-1925-480-119	119	(a) tank	(une) cuve	cupa	2548	BARREL
Gauchat-1925-480-120	120	(a) trouble	(un) pétrin	magide		
Gauchat-1925-480-121	121	(a) yoke	(un) joug	jugu	14	YOKE
Gauchat-1925-480-122	122	(a) handle	(un) manche	manicu	1254	HANDLE
Gauchat-1925-480-123	123	(a) cage	(une) cage	cavea	3283	CAGE
Gauchat-1925-480-124	124	(a) bed	(un) lit	lectu	1663	BED
Gauchat-1925-480-125	125	(a) bottle	(une) bouteille	buttucula	1321	BOTTLE
Gauchat-1925-480-126	126	(a) knife	(un) couteau	cultellu	1352	KNIFE
Gauchat-1925-480-127	127	scissors	(des) ciseaux	forfices	356	SHEARS
Gauchat-1925-480-128	128	(a) mirror	(un) miroir	miratoriu	1171	MIRROR
Gauchat-1925-480-129	129	(a) coil	(une) bobine	spola		
Gauchat-1925-480-130	130	(a) crown	(une) couronne	corona	1943	CROWN (OF HEAD)
Gauchat-1925-480-131	131	I will buy	j‘achèterai	accaptare + habeo		ACCEPT
Gauchat-1925-480-132	132	also	aussi	alesic + bene		
Gauchat-1925-480-133	133	some pants	„des“ pantalons	calceas	809	TROUSERS
Gauchat-1925-480-134	134	(a) belt	(une) ceinture	cinctura	772	BELT
Gauchat-1925-480-135	135	(some) linen	(de la) toile	tela	916	LINEN
Gauchat-1925-480-136	136	(some) silk	(de la) soie	seta	1641	SILK
Gauchat-1925-480-137	137	(some) wool	(de la) laine	lana	964	WOOL
Gauchat-1925-480-138	138	(some) leather	(du) cuir	coriu	629	LEATHER
Gauchat-1925-480-139	139	this bed sheet	ce drap de lit	linteolu		
Gauchat-1925-480-140	140	is better	est meilleur	meliore		
Gauchat-1925-480-141	141	than the other	que l’autre	alteru		
Gauchat-1925-480-142	142	it has one	il a une	habet		
Gauchat-1925-480-143	143	width	largeur	largu + ore		
Gauchat-1925-480-144	144	double	double	dupla		
Gauchat-1925-480-145	145	the sewing	la couture	co(n)sutura		
Gauchat-1925-480-146	146	is straight	est droite	directa		
Gauchat-1925-480-147	147	the vehicle	le char	carru	2549	VEHICLE
Gauchat-1925-480-148	148	is light	est léger	leviariu	1052	LIGHT (WEIGHT)
Gauchat-1925-480-149	149	the chain	la chaîne	catena	1627	CHAIN
Gauchat-1925-480-150	150	(is) light	(est) légère	leviaria	1052	LIGHT (WEIGHT)
Gauchat-1925-480-151	151	the rope	la corde	corda	1218	ROPE
Gauchat-1925-480-152	152	new	neuve	nova	1231	NEW
Gauchat-1925-480-153	153	is better	est meilleure	meliore		
Gauchat-1925-480-154	154	the circle	le cercle	circulu	1467	CIRCLE
Gauchat-1925-480-155	155	is round	est rond	rotundu	1395	ROUND
Gauchat-1925-480-156	156	the wheel	la roue	rota	710	WHEEL
Gauchat-1925-480-157	157	(is) round	(est) ronde	rotunda	1395	ROUND
Gauchat-1925-480-158	158	one must	il faudra	fallere + habet	971	MUST
Gauchat-1925-480-159	159	soon	bientôt	bene tostu	703	SOON
Gauchat-1925-480-160	160	mow	tondre	tondere	190	MOW
Gauchat-1925-480-161	161	the ewes	les brebis	fetas	1331	SHEEP
Gauchat-1925-480-162	162	+++	racérer	reaciariare		
Gauchat-1925-480-163	163	the axe	la hache	happia (+ itta)	677	AXE
Gauchat-1925-480-164	164	beat in the barn	battre en grange	excutere		
Gauchat-1925-480-165	165	grind	moudre	molere	1033	GRIND
Gauchat-1925-480-166	166	the wheat	le blé	blatu	605	GRAIN
Gauchat-1925-480-167	167	keep	garder	wardare	1477	KEEP
Gauchat-1925-480-168	168	the livestock	les bêtes	bestias	631	LIVESTOCK
Gauchat-1925-480-169	169	turn	tourner	(re)virare	1588	TURN
Gauchat-1925-480-170	170	the earth	la terre	terra	1228	EARTH (SOIL)
Gauchat-1925-480-171	171	to sow	semer	seminare	748	SOW SEEDS
Gauchat-1925-480-172	172	(the) hemp	(le) chanvre	cannapu		
Gauchat-1925-480-173	173	the beans	les fèves	fabas		
Gauchat-1925-480-174	174	the horse	le cheval	caballu	615	HORSE
Gauchat-1925-480-175	175	is sold	est vendu	vendutu		
Gauchat-1925-480-176	176	the cow	la vache	vacca	1007	COW
Gauchat-1925-480-177	177	(is) sold	(est) vendue	venduta		
Gauchat-1925-480-178	178	the goats	les chèvres	capras	1502	GOAT
Gauchat-1925-480-179	179	(are) sold	(sont) vendues	vendutas		
Gauchat-1925-480-180	180	it is expensive	il est cher	caru	1426	EXPENSIVE
Gauchat-1925-480-181	181	(she is) expensive	(elle est) chère	cara		
Gauchat-1925-480-182	182	(they are) expensive	(elles sont) chères	caras		
Gauchat-1925-480-183	183	the pork	le porc	porcu	1337	PIG
Gauchat-1925-480-184	184	is big	est gros	grossu	2449	FAT (OF MEAT AND FOOD)
Gauchat-1925-480-185	185	the sow	la truie	troia	1351	SOW (FEMALE PIG)
Gauchat-1925-480-186	186	(is) fat	(est) grosse	grossa	2449	FAT (OF MEAT AND FOOD)
Gauchat-1925-480-187	187	the hay	le foin	fenu	342	HAY
Gauchat-1925-480-188	188	is dry	est sec	siccu	1398	DRY
Gauchat-1925-480-189	189	the grass	l’herbe	herba	606	GRASS
Gauchat-1925-480-190	190	(is) dry	(est) sèche	sicca	1398	DRY
Gauchat-1925-480-191	191	What do you want?	Que veux-tu?	quid voles tu		
Gauchat-1925-480-192	192	I would like	je voudrais	volere + habebam		
Gauchat-1925-480-193	193	some salt	du sel	sal	1274	SALT
Gauchat-1925-480-194	194	some pepper	du poivre	piper	1385	PEPPER
Gauchat-1925-480-195	195	one leaf	une feuille	folia	628	LEAF
Gauchat-1925-480-196	196	some cabbage	de chou	caule		
Gauchat-1925-480-197	197	a wreath	une gerbe	garba		
Gauchat-1925-480-198	198	soem straw	de paille	palea		
Gauchat-1925-480-199	199	a bag	un sac	saccu		
Gauchat-1925-480-200	200	some oat	d’avoine	avena	60	OAT
Gauchat-1925-480-201	201	some flower	de farine	farina	1594	FLOUR
Gauchat-1925-480-202	202	an armful	une brassée	braciata		
Gauchat-1925-480-203	203	some armfuls	(des) brassées	braciatas		
Gauchat-1925-480-204	204	of wood	de bois	boscu	1803	WOOD
Gauchat-1925-480-205	205	(a) shovel	(une) pelletée	palata		
Gauchat-1925-480-206	206	(some) shovels	(des) pelletées	palatas		
Gauchat-1925-480-207	207	of coal	de charbon	carbone		
Gauchat-1925-480-208	208	a handful	une poignée	pugnata		
Gauchat-1925-480-209	209	(some) handfuls	(des) poignées	pugnatas		
Gauchat-1925-480-210	210	of ash	de cendres	cineres	646	ASH
Gauchat-1925-480-211	211	I had	j’avais	habebam	773	HAVE
Gauchat-1925-480-212	212	hunger	faim	fame	1864	HUNGER
Gauchat-1925-480-213	213	and thirst	et soif	site	848	THIRST
Gauchat-1925-480-214	214	I have eaten	j’ai mangé	manducatu		
Gauchat-1925-480-215	215	some bread	du pain	pane	1368	BREAD
Gauchat-1925-480-216	216	(some) honey	(du) miel	mel	942	HONEY
Gauchat-1925-480-217	217	an egg	un œuf	ovu	744	EGG
Gauchat-1925-480-218	218	raw	cru	crudu	1959	RAW
Gauchat-1925-480-219	219	(some) meat	(de la) viande	carne	634	MEAT
Gauchat-1925-480-220	220	raw	crue	cruda	1959	RAW
Gauchat-1925-480-221	221	(some) cheese	(du) fromage	formaticu	1569	CHEESE
Gauchat-1925-480-222	222	"(some) ""serac"""	(du) „sérac“	seraceu		
Gauchat-1925-480-223	223	half	la moitié	medietate	816	HALF
Gauchat-1925-480-224	224	of an apple	d’une pomme	poma	1320	APPLE
Gauchat-1925-480-225	225	cooked	cuite	cocta	269	COOKED
Gauchat-1925-480-226	226	(the apple is) eaten	(la pomme est) mangée	manducata		
Gauchat-1925-480-227	227	the two halves	les deux moitiés	duas medietates		
Gauchat-1925-480-228	228	(are) eaten	(sont) mangées	manducatas		
Gauchat-1925-480-229	229	I needed	il m’a fallu	fallutu		
Gauchat-1925-480-230	230	to drink	boire	bibere	1401	DRINK
Gauchat-1925-480-231	231	some milk	du lait	lacticellu	635	MILK
Gauchat-1925-480-232	232	some whey	du petit-lait	lactata		
Gauchat-1925-480-233	233	the wine	le vin	vinu	1524	WINE
Gauchat-1925-480-234	234	is clear	est clair	claru	250	LIGHT (COLOR)
Gauchat-1925-480-235	235	lukewarm	tiède	tepidu	1232	WARM
Gauchat-1925-480-236	236	the water	l’eau	aqua	948	WATER
Gauchat-1925-480-237	237	(is) clear	(est) claire	clara	250	LIGHT (COLOR)
Gauchat-1925-480-238	238	lukewarm	tiède	tepida	1232	WARM
