Grapheme	UCN	Phonetic Value
l	LATIN SMALL LETTER L	voiced alveolar lateral approximant
l̄	LATIN SMALL LETTER L WITH COMBINING MACRON	long voiced alveolar lateral approximant
l̆̍	LATIN SMALL LETTER L WITH COMBINING BREVE AND COMBINING VERTICAL LINE ABOVE	voiced weakly palatalized alveolar lateral approximant
l̮	LATIN SMALL LETTER L WITH COMBINING BREVE BELOW	voiced palatalized alveolar lateral approximant
l̮̱	LATIN SMALL LETTER L WITH COMBINING BREVE BELOW AND COMBINING MACRON BELOW	weak voiced palatalized alveolar lateral approximant
l̯	LATIN SMALL LETTER L WITH COMBINING INVERTED BREVE BELOW	voiced postalveolar lateral approximant
ḻ	LATIN SMALL LETTER L WITH COMBINING MACRON BELOW	weak voiced alveolar lateral approximant
l̷	LATIN SMALL LETTER L WITH COMBINING SHORT SOLIDUS OVERLAY	voiced velar lateral approximant
ł̄	LATIN SMALL LETTER L WITH STROKE AND COMBINING MACRON	long voiced velar lateral approximant
m	LATIN SMALL LETTER M	voiced bilabial nasal stop
m̄	LATIN SMALL LETTER M WITH COMBINING MACRON	long voiced bilabial nasal stop
m̱	LATIN SMALL LETTER M WITH COMBINING MACRON BELOW	weak voiced bilabial nasal stop
n	LATIN SMALL LETTER N	alveolar nasal stop
n̄	LATIN SMALL LETTER N WITH COMBINING MACRON	long alveolar nasal stop
ṅ	LATIN SMALL LETTER N WITH COMBINING DOT ABOVE	velar nasal stop
n̮	LATIN SMALL LETTER N WITH COMBINING BREVE BELOW	palatalized alveolar nasal stop
n̯	LATIN SMALL LETTER N WITH COMBINING INVERTED BREVE BELOW	postalveolar nasal stop
ṉ	LATIN SMALL LETTER N WITH COMBINING MACRON BELOW	weak alveolar nasal stop
ṉ̇	LATIN SMALL LETTER N WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE	weak velar nasal stop
o	LATIN SMALL LETTER O	mid back rounded vowel
ò	LATIN SMALL LETTER O WITH COMBINING GRAVE ACCENT	open-mid back rounded vowel
ò̃	LATIN SMALL LETTER O WITH COMBINING GRAVE ACCENT AND COMBINING TILDE	nasalized open-mid back rounded vowel
ò̄̃	LATIN SMALL LETTER O WITH COMBINING GRAVE ACCENT AND COMBINING MACRON AND COMBINING TILDE	long nasalized open-mid back rounded vowel
ò͋	LATIN SMALL LETTER O WITH COMBINING GRAVE ACCENT AND COMBINING HOMOTHETIC ABOVE	long weakly nazalized open-mid back rounded vowel
ó	LATIN SMALL LETTER O WITH COMBINING ACUTE ACCENT	close-mid back rounded vowel
ó̃	LATIN SMALL LETTER O WITH COMBINING ACUTE ACCENT AND COMBINING TILDE	nasalized close-mid back rounded vowel
õ	LATIN SMALL LETTER O WITH COMBINING TILDE	nasalized mid back rounded vowel
ō	LATIN SMALL LETTER O WITH COMBINING MACRON	long mid back rounded vowel
ṑ	LATIN SMALL LETTER O WITH COMBINING MACRON AND COMBINING GRAVE ACCENT	long open-mid back rounded vowel
ṓ	LATIN SMALL LETTER O WITH COMBINING MACRON AND COMBINING ACUTE ACCENT	long close-mid back rounded vowel
ŏ	LATIN SMALL LETTER O WITH COMBINING BREVE	long mid back rounded vowel
ŏ̀	LATIN SMALL LETTER O WITH COMBINING BREVE AND COMBINING GRAVE ACCENT	short open-mid back rounded vowel
ŏ́	LATIN SMALL LETTER O WITH COMBINING BREVE AND COMBINING ACUTE ACCENT	short close-mid back rounded vowel
ȯ	LATIN SMALL LETTER O WITH COMBINING DOT ABOVE	close-mid central rounded vowel
ȱ	LATIN SMALL LETTER O WITH COMBINING DOT ABOVE AND COMBINING MACRON	long close-mid central rounded vowel
o̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW	stressed mid back rounded vowel
ò̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT	stressed open-mid back rounded vowel
ò̩̃	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT AND COMBINING TILDE	stressed nasalized open-mid back rounded vowel
ó̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING ACUTE ACCENT	stressed close-mid back rounded vowel
ṓ̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON AND COMBINING ACUTE ACCENT	long stressed close-mid back rounded vowel
ŏ̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE	stressed short mid back rounded vowel
ŏ̩̀	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE AND COMBINING GRAVE ACCENT	stressed short open-mid back rounded vowel
ȯ̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING DOT ABOVE	stressed close-mid central rounded vowel
ò̩̱	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT	stressed weak open-mid back rounded vowel
ȯ̩̱	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON BELOW AND COMBINING DOT ABOVE	stressed weak close-mid central rounded vowel
o̩ͮ	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER V	stressed near-close back rounded vowel
o̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW	weak mid back rounded vowel
ò̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT	weak open-mid back rounded vowel
ò̱̃	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT AND COMBINING TILDE	weak nasalized open-mid back rounded vowel
ó̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING ACUTE ACCENT	weak close-mid back rounded vowel
ó̱̃	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING ACUTE ACCENT AND COMBINING TILDE	weak nasalized close-mid back rounded vowel
õ̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING TILDE	weak nasalized mid back rounded vowel
ō̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING MACRON	weak long mid back rounded vowel
ȯ̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE	weak close-mid central rounded vowel
ȯ̱̃	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE AND COMBINING TILDE	weak nasalized close-mid central rounded vowel
o̱ͮ	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING LATIN SMALL LETTER V	weak near-close back rounded vowel
oͮ	LATIN SMALL LETTER O WITH COMBINING LATIN SMALL LETTER V	near-close back rounded vowel
oͮ̃	LATIN SMALL LETTER O WITH COMBINING LATIN SMALL LETTER V AND COMBINING TILDE	nasalized near-close back rounded vowel
oͮ̄	LATIN SMALL LETTER O WITH COMBINING LATIN SMALL LETTER V AND COMBINING MACRON	long near-close back rounded vowel
oͮ̆	LATIN SMALL LETTER O WITH COMBINING LATIN SMALL LETTER V AND COMBINING BREVE	short near-close back rounded vowel
p	LATIN SMALL LETTER P	voiceless bilabial stop
r	LATIN SMALL LETTER R	voiced dental trill
r̄	LATIN SMALL LETTER R WITH COMBINING MACRON	long voiced dental trill
ṙ	LATIN SMALL LETTER R WITH COMBINING DOT ABOVE	voiced uvular fricative / trill
r̍	LATIN SMALL LETTER R WITH COMBINING VERTICAL LINE ABOVE	lateral dental trill
ṛ	LATIN SMALL LETTER R WITH COMBINING DOT BELOW	voiced alveolar tap
ṟ	LATIN SMALL LETTER R WITH COMBINING MACRON BELOW	weak voiced dental trill
ṟ̇	LATIN SMALL LETTER R WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE	weak voiced uvular fricative / trill
s	LATIN SMALL LETTER S	voiceless alveolar sibilant
s̄	LATIN SMALL LETTER S WITH COMBINING MACRON	long voiceless alveolar fricative
ṣ	LATIN SMALL LETTER S WITH COMBINING DOT BELOW	voiceless dental fricative
ṣ̍	LATIN SMALL LETTER S WITH COMBINING DOT BELOW AND COMBINING VERTICAL LINE ABOVE	voiceless dental / alveolar lateral fricative
s̱	LATIN SMALL LETTER S WITH COMBINING MACRON BELOW	weak voiceless alveolar fricative
t	LATIN SMALL LETTER T	voiceless alveolar stop
t̄	LATIN SMALL LETTER T WITH COMBINING MACRON	long voiceless alveolar stop
t̮	LATIN SMALL LETTER T WITH COMBINING BREVE BELOW	voiceless palatalized alveolar stop
t̮̄	LATIN SMALL LETTER T WITH COMBINING BREVE BELOW AND COMBINING MACRON	long voiceless palatalized alveolar stop
t̯	LATIN SMALL LETTER T WITH COMBINING INVERTED BREVE BELOW	voiceless postalveolar stop
ṯ	LATIN SMALL LETTER T WITH COMBINING MACRON BELOW	weak voiceless alveolar stop
u	LATIN SMALL LETTER U	close front rounded vowel
ù	LATIN SMALL LETTER U WITH COMBINING GRAVE ACCENT	near-close front rounded vowel
ù̃	LATIN SMALL LETTER U WITH COMBINING GRAVE ACCENT AND COMBINING TILDE	nasalized near-close front rounded vowel
ũ	LATIN SMALL LETTER U WITH COMBINING TILDE	nasalized close front rounded vowel
ū	LATIN SMALL LETTER U WITH COMBINING MACRON	long close front rounded vowel
ū̀	LATIN SMALL LETTER U WITH COMBINING MACRON AND COMBINING GRAVE ACCENT	long near-close front rounded vowel
ŭ	LATIN SMALL LETTER U WITH COMBINING BREVE	short close front rounded vowel
ŭ̀	LATIN SMALL LETTER U WITH COMBINING BREVE AND COMBINING GRAVE ACCENT	short near-close front rounded vowel
u̇	LATIN SMALL LETTER U WITH COMBINING DOT ABOVE	near-close centralized rounded vowel
u̩	LATIN SMALL LETTER U WITH COMBINING VERTICAL LINE BELOW	stressed close front rounded vowel
ù̩	LATIN SMALL LETTER U WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT	stressed near-close front rounded vowel
ū̩	LATIN SMALL LETTER U WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON	stressed long close front rounded vowel
ū̩̀	LATIN SMALL LETTER U WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON AND COMBINING GRAVE ACCENT	stressed long near-close front rounded vowel
ŭ̩	LATIN SMALL LETTER U WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE	stressed short close front rounded vowel
ŭ̩̀	LATIN SMALL LETTER U WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE AND COMBINING GRAVE ACCENT	stressed short near-close front rounded vowel
u̩̇	LATIN SMALL LETTER U WITH COMBINING VERTICAL LINE BELOW AND COMBINING DOT ABOVE	stressed near-close centralized rounded vowel
u̱	LATIN SMALL LETTER U WITH COMBINING MACRON BELOW	weak close front rounded vowel
ù̱	LATIN SMALL LETTER U WITH COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT	weak near-close front rounded vowel
u̱̇	LATIN SMALL LETTER U WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE	weak near-close centralized rounded vowel
uͨ	LATIN SMALL LETTER U WITH COMBINING LATIN SMALL LETTER C	near-close front rounded vowel
uͨ̄	LATIN SMALL LETTER U WITH COMBINING LATIN SMALL LETTER C AND COMBINING MACRON	long near-close front rounded vowel
uͨ̆	LATIN SMALL LETTER U WITH COMBINING LATIN SMALL LETTER C AND COMBINING BREVE	short near-close front rounded vowel
v	LATIN SMALL LETTER V	voiced labio-dental fricative
v̱	LATIN SMALL LETTER V WITH COMBINING MACRON BELOW	weak voiced labio-dental fricative
w	LATIN SMALL LETTER W	"voiced labio-velar approximant
non-syllabic close back rounded vowel"
w̄	LATIN SMALL LETTER W WITH COMBINING MACRON	"long voiced labio-velar approximant
long non-syllabic close back rounded vowel"
ẅ	LATIN SMALL LETTER W WITH COMBINING DIAERESIS	voiced labio-palatal approximant
ẅ̑	LATIN SMALL LETTER W WITH COMBINING DIAERESIS AND COMBINING INVERTED BREVE	voiced palatalized labio-velar approximant
w̱	LATIN SMALL LETTER W WITH COMBINING MACRON BELOW	weak voiced labio-velar approximant
ẅ̱	LATIN SMALL LETTER W WITH COMBINING MACRON BELOW AND COMBINING DIAERESIS	weak voiced labio-palatal approximant
y	LATIN SMALL LETTER Y	voiced palatal approximant
ȳ	LATIN SMALL LETTER Y WITH COMBINING MACRON	long voiced palatal approximant
y̆	LATIN SMALL LETTER Y WITH COMBINING BREVE	short voiced palatal approximant
y̆̍	LATIN SMALL LETTER Y WITH COMBINING BREVE AND COMBINING VERTICAL LINE ABOVE	voiced lateral palatal approximant
y̱	LATIN SMALL LETTER Y WITH COMBINING MACRON BELOW	weak voiced palatal approximant
ẏ̱	LATIN SMALL LETTER Y WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE	Hapax legomenon 34: 55
z	LATIN SMALL LETTER Z	voiced alveolar fricative
z̄	LATIN SMALL LETTER Z WITH COMBINING MACRON	long voiced alveolar fricative
ẓ	LATIN SMALL LETTER Z WITH COMBINING DOT BELOW	voiced dental fricative
ẓ̍	LATIN SMALL LETTER Z WITH COMBINING DOT BELOW AND COMBINING VERTICAL LINE ABOVE	voiced dental / alveolar lateral fricative
ẓ̱	LATIN SMALL LETTER Z WITH COMBINING DOT BELOW AND COMBINING MACRON BELOW	weak voiced dental fricative
ẕ	LATIN SMALL LETTER Z WITH COMBINING MACRON BELOW	weak voiced alveolar fricative
z̾	LATIN SMALL LETTER Z WITH COMBINING VERTICAL TILDE	desonorized voiced alveolar fricative
·	MIDDLE DOT	vowel hiatus
œ	LATIN SMALL LIGATURE OE	mid front rounded vowel
œ̀	LATIN SMALL LIGATURE OE WITH COMBINING GRAVE ACCENT	open-mid front rounded vowel
œ̀̃	LATIN SMALL LIGATURE OE WITH COMBINING GRAVE ACCENT AND COMBINING TILDE	nasalized open-mid front rounded vowel
œ́	LATIN SMALL LIGATURE OE WITH COMBINING ACUTE ACCENT	close-mid front rounded vowel
œ́̃	LATIN SMALL LIGATURE OE WITH COMBINING ACUTE ACCENT AND COMBINING TILDE	nasalized close-mid front rounded vowel
œ̄	LATIN SMALL LIGATURE OE WITH COMBINING MACRON	long mid front rounded vowel
œ̄̀	LATIN SMALL LIGATURE OE WITH COMBINING MACRON AND COMBINING GRAVE ACCENT	long open-mid front rounded vowel
œ̄́	LATIN SMALL LIGATURE OE WITH COMBINING MACRON AND COMBINING ACUTE ACCENT	long close-mid front rounded vowel
œ̆	LATIN SMALL LIGATURE OE WITH COMBINING BREVE	short mid front rounded vowel
œ̆̀	LATIN SMALL LIGATURE OE WITH COMBINING BREVE AND COMBINING GRAVE ACCENT	short open-mid front rounded vowel
œ̆́	LATIN SMALL LIGATURE OE WITH COMBINING BREVE AND COMBINING ACUTE ACCENT	short close-mid front rounded vowel
œ̩	LATIN SMALL LIGATURE OE WITH COMBINING VERTICAL LINE BELOW	stressed mid front rounded vowel
œ̩̀	LATIN SMALL LIGATURE OE WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT	stressed open-mid front rounded vowel
œ̩̄	LATIN SMALL LIGATURE OE WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON	stressed long mid front rounded vowel
œ̩̄́	LATIN SMALL LIGATURE OE WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON AND COMBINING ACUTE ACCENT	stressed long close-mid front rounded vowel
œ̩̆	LATIN SMALL LIGATURE OE WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE	stressed short mid front rounded vowel
œ̩̆̀	LATIN SMALL LIGATURE OE WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE AND COMBINING GRAVE ACCENT	stressed short open-mid front rounded vowel
œ̱	LATIN SMALL LIGATURE OE WITH COMBINING MACRON BELOW	weak mid front rounded vowel
œ̱̀	LATIN SMALL LIGATURE OE WITH COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT	weak open-mid front rounded vowel
œ̱́	LATIN SMALL LIGATURE OE WITH COMBINING MACRON BELOW AND COMBINING ACUTE ACCENT	weak close-mid front rounded vowel
œ̱̃	LATIN SMALL LIGATURE OE WITH COMBINING MACRON BELOW AND COMBINING TILDE	weak nasalized mid front rounded vowel
œͦ	LATIN SMALL LIGATURE OE WITH COMBINING LATIN SMALL LETTER O	open-mid central rounded vowel
œͦ̄	LATIN SMALL LIGATURE OE WITH COMBINING LATIN SMALL LETTER O AND COMBINING MACRON	long open-mid central rounded vowel
œͦ̆	LATIN SMALL LIGATURE OE WITH COMBINING LATIN SMALL LETTER O AND COMBINING BREVE	short open-mid central rounded vowel
œͧ	LATIN SMALL LIGATURE OE WITH COMBINING LATIN SMALL LETTER U	near-close front rounded vowel
œͧ̄	LATIN SMALL LIGATURE OE WITH COMBINING LATIN SMALL LETTER U AND COMBINING MACRON	long near-close front rounded vowel
ꭒ	LATIN SMALL LETTER U WITH LEFT HOOK	close back rounded vowel
ꭒ̀	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING GRAVE ACCENT	near-close back rounded vowel
ꭒ̀̃	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING GRAVE ACCENT AND COMBINING TILDE	nasalized near-close back rounded vowel
ꭒ̃	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING TILDE	nasalized close back rounded vowel
ꭒ̄	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING MACRON	long close back rounded vowel
ꭒ̄̀	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING MACRON AND COMBINING GRAVE ACCENT	long near-close back rounded vowel
ꭒ̄́	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING MACRON AND COMBINING ACUTE ACCENT	hapax legomenon 196: 7
ꭒ̆	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING BREVE	short close back rounded vowel
ꭒ̆̀	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING BREVE AND COMBINING GRAVE ACCENT	short near-close back rounded vowel
ꭒ̇	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING DOT ABOVE	near-close central rounded vowel
ꭒ̩	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING VERTICAL LINE BELOW	stressed close back rounded vowel
ꭒ̩̀	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT	stressed near-close back rounded vowel
ꭒ̩̀̃	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT AND COMBINING TILDE	stressed nasalized near-close back rounded vowel
ꭒ̩̄	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING VERTICAL LINE BELOW AND COMBINING MACRON	stressed long close back rounded vowel
ꭒ̩̆	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING VERTICAL LINE BELOW AND COMBINING BREVE	stressed short close back rounded vowel
ꭒ̩̇	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING VERTICAL LINE BELOW AND COMBINING DOT ABOVE	stressed near-close central rounded vowel
ꭒ̩ͧ	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER U	stressed close central rounded vowel
ꭒ̩ͧ̄	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER U AND COMBINING MACRON	stressed long close central rounded vowel
ꭒ̱	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING MACRON BELOW	weak close back rounded vowel
ꭒ̱̀	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT	weak near-close back rounded vowel
ꭒ̱̃	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING MACRON BELOW AND COMBINING TILDE	weak nasalized close back rounded vowel
ꭒ̱̄	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING MACRON BELOW AND COMBINING MACRON	weak long close back rounded vowel
ꭒ̱̆	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING MACRON BELOW AND COMBINING BREVE	weak short close back rounded vowel
ꭒ̱̇	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING MACRON BELOW AND COMBINING DOT ABOVE	weak near-close central rounded vowel
ꭒ̱ͦ	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING MACRON BELOW AND COMBINING LATIN SMALL LETTER O	weak raised close-mid back rounded vowel
ꭒ̱ͧ	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING LATIN SMALL LETTER U AND COMBINING MACRON BELOW	weak close central rounded vowel
ꭒͧ	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING LATIN SMALL LETTER U	close central rounded vowel
ꭒͧ̄	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING LATIN SMALL LETTER U AND COMBINING MACRON	long close central rounded vowel
ꭒͧ̆	LATIN SMALL LETTER U WITH LEFT HOOK AND COMBINING LATIN SMALL LETTER U AND COMBINING BREVE	short close central rounded vowel
͜	COMBINING DOUBLE BREVE BELOW	vowel ligature
·	MIDDLE DOT	vowel hiatus
